Ship Name                                    ,Record Group,Entry Number,Box or Volume Number,Digital Directory ,Start Date,End Date,Box or Volume Number,Assets,Number of Images,Number of Pages,NARA URL,Geographic Focus
ATALANTA,26,159-A,Box 328,atalanta-1939-01,01/01/1939,01/31/1939,Box 328,1,63,63,https://catalog.archives.gov/id/23672348,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1939-02,02/01/1939,02/28/1939,Box 328,1,57,57,https://catalog.archives.gov/id/23672413,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1939-03,03/01/1939,03/31/1939,Box 328,1,62,62,https://catalog.archives.gov/id/23672472,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1939-04,04/01/1939,04/30/1939,Box 328,1,63,63,https://catalog.archives.gov/id/23672536,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1939-05,05/01/1939,05/31/1939,Box 328,1,62,62,https://catalog.archives.gov/id/23672601,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1939-06,06/01/1939,06/30/1939,Box 328,1,61,61,https://catalog.archives.gov/id/23672665,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1939-07,07/01/1939,07/31/1939,Box 328,1,62,62,https://catalog.archives.gov/id/23672728,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1939-08,08/01/1939,08/31/1939,Box 328,1,62,62,https://catalog.archives.gov/id/23672792,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1939-09,09/01/1939,09/30/1939,Box 328,1,61,61,https://catalog.archives.gov/id/23672856,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1939-10,10/01/1939,10/31/1939,Box 328,1,65,65,https://catalog.archives.gov/id/23672919,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1939-11,11/01/1939,11/30/1939,Box 328,1,61,61,https://catalog.archives.gov/id/23672986,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1939-12,12/01/1939,12/31/1939,Box 328,1,62,62,https://catalog.archives.gov/id/23673049,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1940-01,01/01/1940,01/31/1940,Box 329,1,65,65,https://catalog.archives.gov/id/23673113,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1940-02,02/01/1940,02/29/1940,Box 329,1,61,61,https://catalog.archives.gov/id/23673180,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1940-03,03/01/1940,03/31/1940,Box 329,1,69,69,https://catalog.archives.gov/id/23673243,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1940-04,04/01/1940,04/30/1940,Box 329,1,64,64,https://catalog.archives.gov/id/23673314,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1940-05,05/01/1940,05/31/1940,Box 329,1,65,65,https://catalog.archives.gov/id/23673380,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1940-06,06/01/1940,06/30/1940,Box 329,1,75,75,https://catalog.archives.gov/id/23673447,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1940-07,07/01/1940,07/31/1940,Box 329,1,85,85,https://catalog.archives.gov/id/23673524,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1940-08,08/01/1940,08/31/1940,Box 329,1,66,66,https://catalog.archives.gov/id/23673611,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1940-09,09/01/1940,09/30/1940,Box 329,1,73,73,https://catalog.archives.gov/id/23673679,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1940-10,10/01/1940,10/31/1940,Box 329,1,62,62,https://catalog.archives.gov/id/23673754,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1940-11,11/01/1940,11/30/1940,Box 329,1,60,60,https://catalog.archives.gov/id/23673818,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1940-12,12/01/1940,12/31/1940,Box 329,1,69,69,https://catalog.archives.gov/id/23673880,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1941-01,01/01/1941,01/31/1941,Box 329,1,83,83,https://catalog.archives.gov/id/23673951,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1941-02,02/01/1941,02/28/1941,Box 329,1,56,56,https://catalog.archives.gov/id/23674036,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1941-03,03/01/1941,03/31/1941,Box 329,1,66,66,https://catalog.archives.gov/id/23674094,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1941-04,04/01/1941,04/30/1941,Box 329,1,66,66,https://catalog.archives.gov/id/23674162,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1941-05,05/01/1941,05/31/1941,Box 329,1,64,64,https://catalog.archives.gov/id/23674230,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1941-06,06/01/1941,06/30/1941,Box 329,1,78,78,https://catalog.archives.gov/id/23674296,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1941-07,07/01/1941,07/31/1941,Box 329,1,63,63,https://catalog.archives.gov/id/23674376,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1941-08,08/01/1941,08/31/1941,Box 329,1,62,62,https://catalog.archives.gov/id/23674441,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1941-09,09/01/1941,09/30/1941,Box 329,1,66,66,https://catalog.archives.gov/id/23674505,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1941-10,10/01/1941,10/31/1941,Box 329,1,65,65,https://catalog.archives.gov/id/23674573,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1941-11,11/01/1941,11/30/1941,Box 329,1,65,65,https://catalog.archives.gov/id/23674640,Arctic
ATALANTA,26,159-A,Box 329,atalanta-1941-12,12/01/1941,12/31/1941,Box 329,1,62,62,https://catalog.archives.gov/id/23674707,Arctic
ATALANTA,26,159-D,Box 15,atalanta-1942-01,01/01/1942,01/31/1942,Box 15,1,37,73,https://catalog.archives.gov/id/23713343,Arctic
ATALANTA,26,159-D,Box 15,atalanta-1942-02,02/01/1942,02/28/1942,Box 15,1,40,79,https://catalog.archives.gov/id/23713382,Arctic
ATALANTA,26,159-D,Box 15,atalanta-1942-03,03/01/1942,03/31/1942,Box 15,1,42,83,https://catalog.archives.gov/id/23713424,Arctic
ATALANTA,26,159-D,Box 15,atalanta-1942-04,04/01/1942,04/30/1942,Box 15,1,42,83,https://catalog.archives.gov/id/23713468,Arctic
ATALANTA,26,159-D,Box 15,atalanta-1942-05,05/01/1942,05/31/1942,Box 15,1,47,93,https://catalog.archives.gov/id/23713512,Arctic
ATALANTA,26,159-D,Box 15,atalanta-1942-06,06/01/1942,06/30/1942,Box 15,1,42,83,https://catalog.archives.gov/id/23713561,Arctic
ATALANTA,26,159-D,Box 15,atalanta-1942-07,07/01/1942,07/31/1942,Box 15,1,44,87,https://catalog.archives.gov/id/23713605,Arctic
ATALANTA,26,159-D,Box 15,atalanta-1942-08,08/01/1942,08/31/1942,Box 15,1,44,87,https://catalog.archives.gov/id/23713651,Arctic
ATALANTA,26,159-D,Box 16,atalanta-1942-09,09/01/1942,09/30/1942,Box 16,1,47,93,https://catalog.archives.gov/id/23713697,Arctic
ATALANTA,26,159-D,Box 16,atalanta-1942-10,10/01/1942,10/31/1942,Box 16,1,36,71,https://catalog.archives.gov/id/23713746,Arctic
ATALANTA,26,159-D,Box 16,atalanta-1942-11,11/01/1942,11/30/1942,Box 16,1,35,69,https://catalog.archives.gov/id/23713784,Arctic
